Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9301428,000004F2,false,Rx,0,8,72,01,FD,FF,FF,FF,FF,FF,
9308139,000004E0,false,Rx,0,8,60,01,FF,FF,FF,FF,FF,FF,
9309397,000004C0,false,Rx,0,8,40,01,FF,FF,FF,FF,FF,FF,
9311035,00000130,false,Rx,0,5,00,01,C0,0F,64,00,00,00,
9312011,00000130,false,Rx,0,5,00,01,C0,0F,75,00,00,00,
9313802,000003BD,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
9325831,000003BE,false,Rx,0,2,00,F0,00,00,00,00,00,00,
9333911,000004D6,false,Rx,0,8,56,01,FF,FF,FF,FF,FF,FF,
9350311,000004E1,false,Rx,0,8,61,01,FE,FF,FF,FF,FF,FF,
9361225,00000130,false,Rx,0,5,00,01,C0,0F,86,00,00,00,
9377710,00000480,false,Rx,0,8,00,01,FE,FF,FF,FF,FF,FF,
9380915,000004C1,false,Rx,0,8,41,01,FE,FF,FF,FF,FF,FF,
9401343,000004F2,false,Rx,0,8,00,02,FD,FF,FF,FF,FF,FF,
9411362,00000130,false,Rx,0,5,00,01,C0,0F,97,00,00,00,
9446639,00000130,false,Rx,0,5,40,41,C2,0F,48,00,00,00,
9497708,00000480,false,Rx,0,8,41,02,FE,FF,FF,FF,FF,FF,
9506501,000004C0,false,Rx,0,8,41,01,FF,FF,FF,FF,FF,FF,
9512263,00000130,false,Rx,0,5,40,41,C2,0F,59,00,00,00,
9514801,000003BD,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
9526161,00000130,false,Rx,0,5,40,41,82,0F,2A,00,00,00,
9527440,000003BE,false,Rx,0,2,B3,F0,00,00,00,00,00,00,
9545771,000004E7,false,Rx,0,8,67,01,FE,FF,FF,FF,FF,FF,
9562336,000004F3,false,Rx,0,8,73,01,FE,FF,FF,FF,FF,FF,
9591358,000004C1,false,Rx,0,8,67,02,FE,FF,FF,FF,FF,FF,
9595670,000004ED,false,Rx,0,8,6D,01,FF,FF,FF,FF,FF,FF,
9600198,000004D6,false,Rx,0,8,61,01,FF,FF,FF,FF,FF,FF,
9607592,000004E0,false,Rx,0,8,61,01,FF,FF,FF,FF,FF,FF,
9610271,000004E1,false,Rx,0,8,67,11,FE,FF,FF,FF,FF,FF,
9611273,00000130,false,Rx,0,5,40,41,82,0F,3B,00,00,00,
9629986,000004E2,false,Rx,0,8,62,01,FE,FF,FF,FF,FF,FF,
9681148,000003BD,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
9685151,000004E7,false,Rx,0,8,6D,12,FE,FF,FF,FF,FF,FF,
9713053,00000130,false,Rx,0,5,40,41,82,0F,5C,00,00,00,
9714457,000004F8,false,Rx,0,8,78,01,FE,FF,FF,FF,FF,FF,
9723901,000004F8,false,Rx,0,8,78,02,FE,FF,FF,FF,FF,FF,
9729174,000003BE,false,Rx,0,2,B3,F0,00,00,00,00,00,00,
9806009,000004E7,false,Rx,0,8,6D,12,FE,FF,FF,FF,FF,FF,
9807217,000004C0,false,Rx,0,8,41,02,FF,FF,FF,FF,FF,FF,
9811564,00000130,false,Rx,0,5,40,41,82,0F,6D,00,00,00,
9833715,000003BD,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
9891065,000004C1,false,Rx,0,8,56,12,FE,FF,FF,FF,FF,FF,
9911274,00000130,false,Rx,0,5,40,41,82,0F,7E,00,00,00,
9926066,000003BE,false,Rx,0,2,B3,F0,00,00,00,00,00,00,
9989384,000004D6,false,Rx,0,8,60,02,FE,FF,FF,FF,FF,FF,
10011286,00000130,false,Rx,0,5,40,41,82,0F,80,00,00,00,
10089184,000004E0,false,Rx,0,8,61,02,FF,FF,FF,FF,FF,FF,
10111410,00000130,false,Rx,0,5,40,41,82,0F,91,00,00,00,
10190219,000004E1,false,Rx,0,8,62,12,FE,FF,FF,FF,FF,FF,
10211306,00000130,false,Rx,0,5,40,41,82,0F,A2,00,00,00,
10288761,000004E2,false,Rx,0,8,67,12,FE,FF,FF,FF,FF,FF,
10311354,00000130,false,Rx,0,5,40,41,82,0F,B3,00,00,00,
10390607,000004E7,false,Rx,0,8,6D,52,FE,FF,FF,FF,FF,FF,
10411301,00000130,false,Rx,0,5,40,41,82,0F,C4,00,00,00,
10446188,00000130,false,Rx,0,5,40,41,92,0F,E5,00,00,00,
10477349,000004ED,false,Rx,0,8,78,12,FE,FF,FF,FF,FF,FF,
10481394,000004F2,false,Rx,0,8,73,01,FD,FF,FF,FF,FF,FF,
10482702,000004F3,false,Rx,0,8,78,11,FE,FF,FF,FF,FF,FF,
10511382,00000130,false,Rx,0,5,40,41,92,0F,F6,00,00,00,
10546279,00000130,false,Rx,0,5,40,41,92,1F,17,00,00,00,
10573276,000004F8,false,Rx,0,8,40,12,FE,FF,FF,FF,FF,FF,
10578042,00000480,false,Rx,0,8,40,01,FE,FF,FF,FF,FF,FF,
10601252,00000130,false,Rx,0,5,40,41,9A,2F,C8,00,00,00,
10611280,00000130,false,Rx,0,5,40,41,9A,2F,D9,00,00,00,
10666451,000004C0,false,Rx,0,8,41,02,FF,FF,FF,FF,FF,FF,
10667425,00000130,false,Rx,0,5,40,41,92,1F,4A,00,00,00,
10711266,00000130,false,Rx,0,5,40,41,92,1F,5B,00,00,00,
10750101,000004C1,false,Rx,0,8,56,12,FE,FF,FF,FF,FF,FF,
10811301,00000130,false,Rx,0,5,40,41,92,1F,7C,00,00,00,
10850065,000004D6,false,Rx,0,8,60,02,FE,FF,FF,FF,FF,FF,
10911279,00000130,false,Rx,0,5,40,41,92,1F,8D,00,00,00,
10948184,000004E0,false,Rx,0,8,61,12,FF,FF,FF,FF,FF,FF,
11011294,00000130,false,Rx,0,5,40,41,92,1F,9E,00,00,00,
11030393,000004E1,false,Rx,0,8,62,12,FE,FF,FF,FF,FF,FF,
11111365,00000130,false,Rx,0,5,40,41,92,1F,A0,00,00,00,
11128865,000004E2,false,Rx,0,8,67,12,FE,FF,FF,FF,FF,FF,
11211338,00000130,false,Rx,0,5,40,41,92,1F,B1,00,00,00,
11216920,000004E7,false,Rx,0,8,6D,12,FE,FF,FF,FF,FF,FF,
11312619,00000130,false,Rx,0,5,40,41,92,1F,C2,00,00,00,
11315718,000004ED,false,Rx,0,8,72,12,FE,FF,FF,FF,FF,FF,
11401446,000004F2,false,Rx,0,8,73,12,FD,FF,00,40,01,00,
11411394,00000130,false,Rx,0,5,40,41,92,1F,D3,00,00,00,
11482852,000004F3,false,Rx,0,8,78,12,FE,FF,FF,FF,FF,FF,
11511789,00000130,false,Rx,0,5,40,41,92,1F,E4,00,00,00,
11573249,000004F8,false,Rx,0,8,00,12,FE,FF,FF,FF,FF,FF,
11611475,00000130,false,Rx,0,5,40,41,92,1F,F5,00,00,00,
11658819,00000480,false,Rx,0,8,40,02,FE,FF,FF,FF,FF,FF,
11711323,00000130,false,Rx,0,5,40,41,92,1F,06,00,00,00,
