Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
62411844,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
62447936,0000001A6,false,Rx,0,8,00,00,00,00,00,00,A0,F9,
62449000,0000001B9,false,Rx,0,2,00,FF,00,00,00,00,00,00,
62449752,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
62450796,0000002C4,false,Rx,0,8,00,00,FF,64,64,64,00,F0,
62456084,0000000E4,false,Rx,0,8,0C,FB,86,7F,22,FF,7F,8E,
62457168,000000199,false,Rx,0,6,DA,FB,CB,7E,20,B0,00,00,
62458152,00000019A,false,Rx,0,6,BB,FB,9C,7E,00,20,00,00,
62459136,00000019F,false,Rx,0,6,81,FB,01,80,00,20,00,00,
62460328,000000289,false,Rx,0,8,13,F4,E0,E0,E1,00,0C,00,
62461416,000000297,false,Rx,0,7,51,F4,FC,FC,FC,FC,FC,00,
62462452,0000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
62463476,0000001C4,false,Rx,0,7,00,00,00,00,BD,F4,FF,00,
62464596,0000001C5,false,Rx,0,7,00,00,00,00,BD,F4,FF,00,
62465616,0000002BB,false,Rx,0,5,BD,F4,00,00,F2,00,00,00,
62493500,00000012F,false,Rx,0,8,D4,23,86,1C,F1,01,30,09,
62496076,0000000A5,false,Rx,0,8,40,FA,9B,B7,79,00,00,F1,
62505672,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
62512312,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
62531996,0000002CA,false,Rx,0,2,66,70,00,00,00,00,00,00,
62547928,0000001A6,false,Rx,0,8,00,00,00,00,00,00,30,FB,
62549200,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
62550392,000000173,false,Rx,0,8,4F,F5,00,0E,30,00,FE,D0,
62556056,0000000E4,false,Rx,0,8,EA,F6,86,7F,22,FF,7F,8E,
62557144,000000199,false,Rx,0,6,56,F6,D2,7E,20,B0,00,00,
62558128,00000019A,false,Rx,0,6,5D,F6,98,7E,00,20,00,00,
62559112,00000019F,false,Rx,0,6,CF,F6,FA,7F,00,20,00,00,
62560276,000000289,false,Rx,0,8,A9,F6,E0,E0,E1,00,0C,00,
62561356,0000002BB,false,Rx,0,5,9A,F6,00,00,F2,00,00,00,
62562272,00000018F,false,Rx,0,5,2D,81,F1,FF,FF,00,00,00,
62563200,0000001A1,false,Rx,0,5,B3,CB,00,00,81,00,00,00,
62565140,0000001C4,false,Rx,0,7,00,00,00,00,C7,F4,FF,00,
62566168,0000001C5,false,Rx,0,7,00,00,00,00,C7,F4,FF,00,
62567196,000000302,false,Rx,0,7,FF,FF,2D,81,FF,FF,FF,00,
62593492,00000012F,false,Rx,0,8,5A,24,86,1C,F1,01,30,09,
62596048,0000000A5,false,Rx,0,8,28,F0,9B,B7,79,00,00,F1,
62605552,0000005E7,false,Rx,0,8,99,01,0A,07,06,00,00,00,
62606616,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
62612656,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
62627888,000000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
62647948,0000001A6,false,Rx,0,8,00,00,00,00,00,00,C0,FC,
62649216,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
62656048,0000000E4,false,Rx,0,8,64,F1,86,7F,22,FF,7F,8E,
62657136,000000199,false,Rx,0,6,79,F1,CB,7E,20,B0,00,00,
62658120,00000019A,false,Rx,0,6,A3,F1,96,7E,00,20,00,00,
62659100,00000019F,false,Rx,0,6,04,F1,0A,80,00,20,00,00,
62660260,000000289,false,Rx,0,8,A8,F8,E0,E0,E1,00,0C,00,
62661356,000000297,false,Rx,0,7,17,F5,FC,FC,FC,FC,FC,00,
62662388,0000001A1,false,Rx,0,5,08,C1,00,00,81,00,00,00,
62663416,0000001C4,false,Rx,0,7,00,00,00,00,D1,F4,FF,00,
62664540,0000001C5,false,Rx,0,7,00,00,00,00,D1,F4,FF,00,
62665560,0000002BB,false,Rx,0,5,6F,F8,00,00,F2,00,00,00,
62676060,000000328,false,Rx,0,6,3D,44,EF,11,0E,22,00,00,
62693488,00000012F,false,Rx,0,8,BD,25,86,1C,F2,01,30,09,
62696056,0000000A5,false,Rx,0,8,1C,F5,9B,B7,79,00,00,F1,
62705712,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
62713032,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
62747948,0000001A6,false,Rx,0,8,00,00,00,00,00,00,50,FE,
62749252,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
62750464,000000173,false,Rx,0,8,13,FA,00,0E,30,00,FE,D0,
62756072,0000000E4,false,Rx,0,8,0C,FB,86,7F,22,FF,7F,8E,
62757156,000000199,false,Rx,0,6,09,FB,CE,7E,20,B0,00,00,
62758136,00000019A,false,Rx,0,6,4F,FB,9B,7E,00,20,00,00,
62759116,00000019F,false,Rx,0,6,A7,FB,0A,80,00,20,00,00,
62761120,000000289,false,Rx,0,8,12,FA,E0,E0,E1,00,0C,00,
62762196,00000018F,false,Rx,0,5,2D,81,F1,FF,FF,00,00,00,
62763128,0000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
62765072,0000001C4,false,Rx,0,7,00,00,00,00,DB,F4,FF,00,
62766100,0000001C5,false,Rx,0,7,00,00,00,00,DB,F4,FF,00,
62767128,000000302,false,Rx,0,7,FF,FF,2D,81,FF,FF,FF,00,
62768160,0000002BB,false,Rx,0,5,48,FA,00,00,F2,00,00,00,
62793524,00000012F,false,Rx,0,8,5A,26,86,1C,F2,01,30,09,
62796064,0000000A5,false,Rx,0,8,40,FA,9B,B7,79,00,00,F1,
62805828,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
62813472,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
62847932,0000001A6,false,Rx,0,8,00,00,00,00,00,00,E0,FF,
62848992,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
62856044,0000000E4,false,Rx,0,8,EA,F6,86,7F,22,FF,7F,8E,
62857128,000000199,false,Rx,0,6,CB,F6,D3,7E,20,B0,00,00,
62858112,00000019A,false,Rx,0,6,7A,F6,9A,7E,00,20,00,00,
62859096,00000019F,false,Rx,0,6,92,F6,0B,80,00,20,00,00,
62860252,000000289,false,Rx,0,8,C1,FC,E0,E0,E1,00,0C,00,
62861352,000000297,false,Rx,0,7,DD,F6,FC,FC,FC,FC,FC,00,
62862388,0000001A1,false,Rx,0,5,B3,CB,00,00,81,00,00,00,
62863384,0000001C4,false,Rx,0,7,00,00,00,00,E5,F4,FF,00,
62864504,0000001C5,false,Rx,0,7,00,00,00,00,E5,F4,FF,00,
62865524,0000002BB,false,Rx,0,5,21,FC,00,00,F2,00,00,00,
62893480,00000012F,false,Rx,0,8,BD,27,86,1C,F1,01,30,09,
62896036,0000000A5,false,Rx,0,8,28,F0,9B,B7,79,00,00,F1,
62905652,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
62913836,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
62947928,0000001A6,false,Rx,0,8,00,00,00,00,00,00,70,F1,
62949196,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
62950392,000000173,false,Rx,0,8,7B,F0,00,0E,30,00,FE,D0,
62951604,0000002C4,false,Rx,0,8,00,00,FF,64,64,64,00,F0,
62956040,0000000E4,false,Rx,0,8,64,F1,86,7F,22,FF,7F,8E,
62957124,000000199,false,Rx,0,6,37,F1,CF,7E,20,B0,00,00,
62958108,00000019A,false,Rx,0,6,CB,F1,99,7E,00,20,00,00,
62959092,00000019F,false,Rx,0,6,E3,F1,F8,7F,00,20,00,00,
62960252,000000289,false,Rx,0,8,7B,FE,E0,E0,E1,00,0C,00,
