Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
62411844,000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
62447936,000001A6,false,Rx,0,8,00,00,00,00,00,00,A0,F9,
62449000,000001B9,false,Rx,0,2,00,FF,00,00,00,00,00,00,
62449752,00000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
62450796,000002C4,false,Rx,0,8,00,00,FF,64,64,64,00,F0,
62456084,000000E4,false,Rx,0,8,0C,FB,86,7F,22,FF,7F,8E,
62457168,00000199,false,Rx,0,6,DA,FB,CB,7E,20,B0,00,00,
62458152,0000019A,false,Rx,0,6,BB,FB,9C,7E,00,20,00,00,
62459136,0000019F,false,Rx,0,6,81,FB,01,80,00,20,00,00,
62460328,00000289,false,Rx,0,8,13,F4,E0,E0,E1,00,0C,00,
62461416,00000297,false,Rx,0,7,51,F4,FC,FC,FC,FC,FC,00,
62462452,000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
62463476,000001C4,false,Rx,0,7,00,00,00,00,BD,F4,FF,00,
62464596,000001C5,false,Rx,0,7,00,00,00,00,BD,F4,FF,00,
62465616,000002BB,false,Rx,0,5,BD,F4,00,00,F2,00,00,00,
62493500,0000012F,false,Rx,0,8,D4,23,86,1C,F1,01,30,09,
62496076,000000A5,false,Rx,0,8,40,FA,9B,B7,79,00,00,F1,
62505672,00000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
62512312,000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
62531996,000002CA,false,Rx,0,2,66,70,00,00,00,00,00,00,
62547928,000001A6,false,Rx,0,8,00,00,00,00,00,00,30,FB,
62549200,00000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
62550392,00000173,false,Rx,0,8,4F,F5,00,0E,30,00,FE,D0,
62556056,000000E4,false,Rx,0,8,EA,F6,86,7F,22,FF,7F,8E,
62557144,00000199,false,Rx,0,6,56,F6,D2,7E,20,B0,00,00,
62558128,0000019A,false,Rx,0,6,5D,F6,98,7E,00,20,00,00,
62559112,0000019F,false,Rx,0,6,CF,F6,FA,7F,00,20,00,00,
62560276,00000289,false,Rx,0,8,A9,F6,E0,E0,E1,00,0C,00,
62561356,000002BB,false,Rx,0,5,9A,F6,00,00,F2,00,00,00,
62562272,0000018F,false,Rx,0,5,2D,81,F1,FF,FF,00,00,00,
62563200,000001A1,false,Rx,0,5,B3,CB,00,00,81,00,00,00,
62565140,000001C4,false,Rx,0,7,00,00,00,00,C7,F4,FF,00,
62566168,000001C5,false,Rx,0,7,00,00,00,00,C7,F4,FF,00,
62567196,00000302,false,Rx,0,7,FF,FF,2D,81,FF,FF,FF,00,
62593492,0000012F,false,Rx,0,8,5A,24,86,1C,F1,01,30,09,
62596048,000000A5,false,Rx,0,8,28,F0,9B,B7,79,00,00,F1,
62605552,000005E7,false,Rx,0,8,99,01,0A,07,06,00,00,00,
62606616,00000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
