Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2510357,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
2527253,000003A5,false,Rx,0,5,E1,D5,FF,FF,FF,00,00,00,
2548895,000006F0,false,Rx,0,5,40,03,22,F1,90,00,00,00,
2627247,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
2687127,000003A5,false,Rx,0,5,E1,D5,FF,FF,FF,00,00,00,
2727132,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
2846980,000003A5,false,Rx,0,5,E1,D5,FF,FF,FF,00,00,00,
3047679,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
3366502,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
3547254,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
4005938,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
4046735,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
4546253,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
4645282,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
5045743,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
5284641,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
5545263,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
5924006,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
6044744,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
6544162,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
6544619,000006F0,false,Rx,0,5,40,03,22,F1,90,00,00,00,
6563238,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
7043756,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
7202712,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
7543227,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
7842049,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
8042707,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
8481406,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
8542211,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
9041724,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
9120755,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
9541229,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
9760120,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
10040694,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
10399500,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
10540176,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
10540663,000006F0,false,Rx,0,5,40,03,22,F1,90,00,00,00,
11038848,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
11039670,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
11539144,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
11678105,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
12038637,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
12317568,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
12538119,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
12956882,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
13037668,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
13537209,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
13596284,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
14036615,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
14235624,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
14536202,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
14874980,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
15035605,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
15514340,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
15535151,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
16034701,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
16153684,00000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
16534180,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
